number,name,position,height,weight,birth_date,experience,college,team
8,Al-Farouq Aminu,PF,6-9,220,"September 21, 1990",7,Wake Forest University,PORTLAND TRAIL BLAZERS
2,Wade Baldwin,PG,6-4,200,"March 29, 1996",1,Vanderbilt University,PORTLAND TRAIL BLAZERS
33,Zach Collins,C,7-0,235,"November 19, 1997",R,Gonzaga University,PORTLAND TRAIL BLAZERS
5,Pat Connaughton,SG,6-4,209,"January 6, 1993",2,University of Notre Dame,PORTLAND TRAIL BLAZERS
17,Ed Davis,C,6-10,225,"June 5, 1989",7,University of North Carolina,PORTLAND TRAIL BLAZERS
4,Maurice Harkless,SF,6-9,220,"May 11, 1993",5,St. John's University,PORTLAND TRAIL BLAZERS
10,Jake Layman,SF,6-9,215,"March 7, 1994",1,University of Maryland,PORTLAND TRAIL BLAZERS
11,Meyers Leonard,C,7-1,255,"February 27, 1992",5,University of Illinois at Urbana-Champaign,PORTLAND TRAIL BLAZERS
0,Damian Lillard,PG,6-3,195,"July 15, 1990",5,Weber State University,PORTLAND TRAIL BLAZERS
3,CJ McCollum,SG,6-3,190,"September 19, 1991",4,Lehigh University,PORTLAND TRAIL BLAZERS
6,Shabazz Napier,PG,6-1,180,"July 14, 1991",3,University of Connecticut,PORTLAND TRAIL BLAZERS
27,Jusuf Nurkic,C,7-0,275,"August 23, 1994",3,,PORTLAND TRAIL BLAZERS
19,Georgios Papagiannis,C,7-1,240,"July 3, 1997",1,,PORTLAND TRAIL BLAZERS
50,Caleb Swanigan,PF,6-9,250,"April 18, 1997",R,Purdue University,PORTLAND TRAIL BLAZERS
1,Evan Turner,SF,6-7,220,"October 27, 1988",7,Ohio State University,PORTLAND TRAIL BLAZERS
21,Noah Vonleh,PF,6-9,250,"August 24, 1995",3,Indiana University,PORTLAND TRAIL BLAZERS
8,Alex Abrines,SG,6-6,200,"August 1, 1993",1,,OKLAHOMA CITY THUNDER
12,Steven Adams,C,7-0,265,"July 20, 1993",4,University of Pittsburgh,OKLAHOMA CITY THUNDER
7,Carmelo Anthony,PF,6-8,240,"May 29, 1984",14,Syracuse University,OKLAHOMA CITY THUNDER
3,Corey Brewer,SG,6-9,186,"March 5, 1986",10,University of Florida,OKLAHOMA CITY THUNDER
4,Nick Collison,PF,6-10,255,"October 26, 1980",13,University of Kansas,OKLAHOMA CITY THUNDER
35,PJ Dozier,PG,6-6,205,"October 25, 1996",R,University of South Carolina,OKLAHOMA CITY THUNDER
2,Raymond Felton,PG,6-1,205,"June 26, 1984",12,University of North Carolina,OKLAHOMA CITY THUNDER
23,Terrance Ferguson,SG,6-7,190,"May 17, 1998",R,,OKLAHOMA CITY THUNDER
13,Paul George,SF,6-9,220,"May 2, 1990",7,"California State University, Fresno",OKLAHOMA CITY THUNDER
9,Jerami Grant,PF,6-9,220,"March 12, 1994",3,Syracuse University,OKLAHOMA CITY THUNDER
25,Daniel Hamilton,SG,6-7,195,"August 8, 1995",R,University of Connecticut,OKLAHOMA CITY THUNDER
34,Josh Huestis,PF,6-7,230,"December 19, 1991",2,Stanford University,OKLAHOMA CITY THUNDER
44,Dakari Johnson,C,7-0,255,"September 22, 1995",R,University of Kentucky,OKLAHOMA CITY THUNDER
54,Patrick Patterson,PF,6-9,230,"March 14, 1989",7,University of Kentucky,OKLAHOMA CITY THUNDER
21,Andre Roberson,SG,6-7,210,"December 4, 1991",4,University of Colorado,OKLAHOMA CITY THUNDER
15,Kyle Singler,SF,6-8,228,"May 4, 1988",5,Duke University,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",9,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
13,Tony Bradley,C,6-10,248,"January 8, 1998",R,University of North Carolina,UTAH JAZZ
10,Alec Burks,SG,6-6,214,"July 20, 1991",6,University of Colorado,UTAH JAZZ
99,Jae Crowder,SF,6-6,235,"July 6, 1990",5,Marquette University,UTAH JAZZ
11,Dante Exum,PG,6-6,190,"July 13, 1995",2,,UTAH JAZZ
15,Derrick Favors,C,6-10,265,"July 15, 1991",7,Georgia Institute of Technology,UTAH JAZZ
27,Rudy Gobert,C,7-1,245,"June 26, 1992",4,,UTAH JAZZ
5,Rodney Hood,SG,6-8,206,"October 20, 1992",3,"Mississippi State University, Duke University",UTAH JAZZ
2,Joe Ingles,SF,6-8,226,"October 2, 1987",3,,UTAH JAZZ
8,Jonas Jerebko,PF,6-10,231,"March 2, 1987",7,,UTAH JAZZ
6,Joe Johnson,SF,6-7,240,"June 29, 1981",16,University of Arkansas,UTAH JAZZ
21,Erik McCree,SF,6-8,225,"December 20, 1993",R,Louisiana Tech University,UTAH JAZZ
45,Donovan Mitchell,SG,6-3,215,"September 7, 1996",R,University of Louisville,UTAH JAZZ
30,Naz Mitrou-Long,SG,6-4,218,"August 3, 1993",R,Iowa State University,UTAH JAZZ
25,Raul Neto,PG,6-1,179,"May 19, 1992",2,,UTAH JAZZ
31,Georges Niang,PF,6-8,230,"June 17, 1993",1,Iowa State University,UTAH JAZZ
23,Royce O'Neale,SF,6-6,226,"June 5, 1993",R,Baylor University,UTAH JAZZ
3,Ricky Rubio,PG,6-4,190,"October 21, 1990",6,,UTAH JAZZ
22,Thabo Sefolosha,SF,6-7,220,"May 2, 1984",11,,UTAH JAZZ
5,David Stockton,PG,5-11,165,"June 24, 1991",1,Gonzaga University,UTAH JAZZ
33,Ekpe Udoh,C,6-10,245,"May 20, 1987",5,"University of Michigan, Baylor University",UTAH JAZZ
16,Nate Wolters,PG,6-4,190,"May 15, 1991",2,South Dakota State University,UTAH JAZZ
45,Cole Aldrich,C,6-11,250,"October 31, 1988",7,University of Kansas,MINNESOTA TIMBERWOLVES
8,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",2,,MINNESOTA TIMBERWOLVES
30,Aaron Brooks,PG,6-0,161,"January 14, 1985",9,University of Oregon,MINNESOTA TIMBERWOLVES
3,Anthony Brown,SF,6-7,210,"October 10, 1992",2,Stanford University,MINNESOTA TIMBERWOLVES
