number,name,position,height,weight,birth_date,experience,college,team
21,Joel Bolomboy,PF,6-9,235,"January 28, 1994",R,Weber State University,UTAH JAZZ
10,Alec Burks,SG,6-6,214,"July 20, 1991",5,University of Colorado,UTAH JAZZ
33,Boris Diaw,PF,6-8,250,"April 16, 1982",13,,UTAH JAZZ
11,Dante Exum,PG,6-6,190,"July 13, 1995",1,,UTAH JAZZ
15,Derrick Favors,PF,6-10,265,"July 15, 1991",6,Georgia Institute of Technology,UTAH JAZZ
27,Rudy Gobert,C,7-1,245,"June 26, 1992",3,,UTAH JAZZ
20,Gordon Hayward,SF,6-8,225,"March 23, 1990",6,Butler University,UTAH JAZZ
3,George Hill,PG,6-3,188,"May 4, 1986",8,Indiana University-Purdue University Indianapolis,UTAH JAZZ
5,Rodney Hood,SG,6-8,206,"October 20, 1992",2,"Mississippi State University, Duke University",UTAH JAZZ
2,Joe Ingles,SF,6-8,226,"October 2, 1987",2,,UTAH JAZZ
6,Joe Johnson,SF,6-7,240,"June 29, 1981",15,University of Arkansas,UTAH JAZZ
41,Trey Lyles,PF,6-10,234,"November 5, 1995",1,University of Kentucky,UTAH JAZZ
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",5,Butler University,UTAH JAZZ
25,Raul Neto,PG,6-1,179,"May 19, 1992",1,,UTAH JAZZ
24,Jeff Withey,C,7-0,231,"March 7, 1990",3,University of Kansas,UTAH JAZZ
8,Alex Abrines,SG,6-6,200,"August 1, 1993",R,,OKLAHOMA CITY THUNDER
12,Steven Adams,C,7-0,265,"July 20, 1993",3,University of Pittsburgh,OKLAHOMA CITY THUNDER
6,Semaj Christon,PG,6-3,190,"November 1, 1992",R,Xavier University,OKLAHOMA CITY THUNDER
30,Norris Cole,PG,6-2,175,"October 13, 1988",5,Cleveland State University,OKLAHOMA CITY THUNDER
4,Nick Collison,PF,6-10,255,"October 26, 1980",12,University of Kansas,OKLAHOMA CITY THUNDER
22,Taj Gibson,PF,6-9,232,"June 24, 1985",7,University of Southern California,OKLAHOMA CITY THUNDER
9,Jerami Grant,PF,6-9,220,"March 12, 1994",2,Syracuse University,OKLAHOMA CITY THUNDER
34,Josh Huestis,PF,6-7,230,"December 19, 1991",1,Stanford University,OKLAHOMA CITY THUNDER
7,Ersan Ilyasova,PF,6-10,235,"May 15, 1987",8,,OKLAHOMA CITY THUNDER
11,Enes Kanter,C,6-11,250,"May 20, 1992",5,,OKLAHOMA CITY THUNDER
77,Joffrey Lauvergne,PF,6-11,220,"September 30, 1991",2,,OKLAHOMA CITY THUNDER
25,Doug McDermott,SF,6-8,225,"January 3, 1992",2,Creighton University,OKLAHOMA CITY THUNDER
2,Anthony Morrow,SG,6-5,210,"September 27, 1985",8,Georgia Institute of Technology,OKLAHOMA CITY THUNDER
5,Victor Oladipo,SG,6-4,210,"May 4, 1992",3,Indiana University,OKLAHOMA CITY THUNDER
22,Cameron Payne,PG,6-3,190,"August 8, 1994",1,Murray State University,OKLAHOMA CITY THUNDER
21,Andre Roberson,SF,6-7,210,"December 4, 1991",3,University of Colorado,OKLAHOMA CITY THUNDER
3,Domantas Sabonis,PF,6-11,240,"May 3, 1996",R,Gonzaga University,OKLAHOMA CITY THUNDER
15,Kyle Singler,SF,6-8,228,"May 4, 1988",4,Duke University,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",8,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
8,Al-Farouq Aminu,PF,6-9,220,"September 21, 1990",6,Wake Forest University,PORTLAND TRAIL BLAZERS
5,Pat Connaughton,SG,6-4,209,"January 6, 1993",1,University of Notre Dame,PORTLAND TRAIL BLAZERS
23,Allen Crabbe,SG,6-6,212,"April 9, 1992",3,University of California,PORTLAND TRAIL BLAZERS
17,Ed Davis,PF,6-10,225,"June 5, 1989",6,University of North Carolina,PORTLAND TRAIL BLAZERS
4,Maurice Harkless,SF,6-9,220,"May 11, 1993",4,St. John's University,PORTLAND TRAIL BLAZERS
10,Jake Layman,SF,6-9,215,"March 7, 1994",R,University of Maryland,PORTLAND TRAIL BLAZERS
11,Meyers Leonard,PF,7-1,255,"February 27, 1992",4,University of Illinois at Urbana-Champaign,PORTLAND TRAIL BLAZERS
0,Damian Lillard,PG,6-3,195,"July 15, 1990",4,Weber State University,PORTLAND TRAIL BLAZERS
3,CJ McCollum,SG,6-3,190,"September 19, 1991",3,Lehigh University,PORTLAND TRAIL BLAZERS
6,Shabazz Napier,PG,6-1,180,"July 14, 1991",2,University of Connecticut,PORTLAND TRAIL BLAZERS
27,Jusuf Nurkic,C,7-0,275,"August 23, 1994",2,,PORTLAND TRAIL BLAZERS
24,Mason Plumlee,C,6-11,235,"March 5, 1990",3,Duke University,PORTLAND TRAIL BLAZERS
55,Tim Quarterman,SG,6-6,195,"October 27, 1994",R,Louisiana State University,PORTLAND TRAIL BLAZERS
1,Evan Turner,SF,6-7,220,"October 27, 1988",6,Ohio State University,PORTLAND TRAIL BLAZERS
21,Noah Vonleh,PF,6-9,250,"August 24, 1995",2,Indiana University,PORTLAND TRAIL BLAZERS
00,Darrell Arthur,PF,6-9,235,"March 25, 1988",7,University of Kansas,DENVER NUGGETS
5,Will Barton,SG,6-6,190,"January 6, 1991",4,University of Memphis,DENVER NUGGETS
25,Malik Beasley,SG,6-5,195,"November 26, 1996",R,Florida State University,DENVER NUGGETS
21,Wilson Chandler,SF,6-9,225,"May 10, 1987",8,DePaul University,DENVER NUGGETS
35,Kenneth Faried,PF,6-8,220,"November 19, 1989",5,Morehead State University,DENVER NUGGETS
8,Danilo Gallinari,SF,6-10,225,"August 8, 1988",7,,DENVER NUGGETS
7,Alonzo Gee,SF,6-6,225,"May 29, 1987",7,University of Alabama,DENVER NUGGETS
14,Gary Harris,SG,6-4,210,"September 14, 1994",2,Michigan State University,DENVER NUGGETS
41,Juan Hernangomez,PF,6-9,230,"September 28, 1995",R,,DENVER NUGGETS
34,Roy Hibbert,C,7-2,270,"December 11, 1986",8,Georgetown University,DENVER NUGGETS
15,Nikola Jokic,C,7-0,250,"February 19, 1995",1,,DENVER NUGGETS
3,Mike Miller,SF,6-8,218,"February 19, 1980",16,University of Florida,DENVER NUGGETS
0,Emmanuel Mudiay,PG,6-5,200,"March 5, 1996",1,,DENVER NUGGETS
27,Jamal Murray,SG,6-4,207,"February 23, 1997",R,University of Kentucky,DENVER NUGGETS
1,Jameer Nelson,PG,6-0,190,"February 9, 1982",12,Saint Joseph's University,DENVER NUGGETS
23,Jusuf Nurkic,C,7-0,275,"August 23, 1994",2,,DENVER NUGGETS
9,Johnny O'Bryant,PF,6-9,257,"June 1, 1993",2,Louisiana State University,DENVER NUGGETS
24,Mason Plumlee,C,6-11,235,"March 5, 1990",3,Duke University,DENVER NUGGETS
12,Jarnell Stokes,C,6-9,263,"January 7, 1994",2,University of Tennessee,DENVER NUGGETS
45,Cole Aldrich,C,6-11,250,"October 31, 1988",6,University of Kansas,MINNESOTA TIMBERWOLVES
88,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",1,,MINNESOTA TIMBERWOLVES
18,Omri Casspi,PF,6-9,225,"June 22, 1988",7,,MINNESOTA TIMBERWOLVES
5,Gorgui Dieng,PF,6-11,252,"January 18, 1990",3,University of Louisville,MINNESOTA TIMBERWOLVES
3,Kris Dunn,PG,6-4,205,"March 18, 1994",R,Providence College,MINNESOTA TIMBERWOLVES
27,Jordan Hill,C,6-10,235,"July 27, 1987",7,University of Arizona,MINNESOTA TIMBERWOLVES
1,Tyus Jones,PG,6-2,196,"May 10, 1996",1,Duke University,MINNESOTA TIMBERWOLVES
8,Zach LaVine,SG,6-5,200,"March 10, 1995",2,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
11,John Lucas III,PG,5-11,166,"November 21, 1982",7,"Baylor University, Oklahoma State University",MINNESOTA TIMBERWOLVES
15,Shabazz Muhammad,SF,6-6,223,"November 13, 1992",3,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
