position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Lowry, Kyle^",62,"$8,100",TORONTO RAPTORS,v bkn, 116-112,37:11,   25pt 10rb 12as 1to 5trey 7-11fg 6-6ft
PG,"Westbrook, Russell^",59.25,"$11,100",OKLAHOMA CITY THUNDER,v mia, 105-99,35:55,   29pt 13rb 8as 1st 5to 2trey 9-15fg 9-10ft
PG/SG,"Russell, D'Angelo^",56.75,"$6,400",BROOKLYN NETS,@ tor, 112-116,31:04,   18pt 11rb 13as 1st 2to 8-21fg 2-5ft
PG/SG,"Williams, Louis",55.5,"$7,200",LOS ANGELES CLIPPERS,@ ind, 104-109,35:47,   27pt 4rb 10as 3st 2to 4trey 10-18fg 3-3ft
PG/SG,"Mitchell, Donovan^",51.25,"$7,000",UTAH JAZZ,@ sas, 120-124,43:55,   35pt 3rb 3as 4st 4to 4trey 14-36fg 3-5ft
PG/SF,"James, LeBron^",50.5,"$12,100",CLEVELAND CAVALIERS,v pho, 120-95,29:16,   27pt 6rb 9as 1st 1bl 4to 1trey 11-16fg 4-6ft
PG/SG,"McCollum, C.J.^",44.75,"$6,500",PORTLAND TRAIL BLAZERS,v bos, 100-105,36:34,   26pt 7rb 4as 2st 1to 1trey 12-22fg 1-1ft
PG/SG,"Murray, Jamal^",44.5,"$6,900",DENVER NUGGETS,@ was, 108-100,36:03,   25pt 6rb 3as 2st 1bl 2to 5trey 8-20fg 4-4ft
PG,"Rubio, Ricky^",43.25,"$6,700",UTAH JAZZ,@ sas, 120-124,40:25,   20pt 3rb 9as 2st 1bl 3to 3trey 5-10fg 7-7ft
PG,"Lillard, Damian^",42.75,"$8,800",PORTLAND TRAIL BLAZERS,v bos, 100-105,38:32,   26pt 3rb 8as 2to 4trey 9-22fg 4-4ft
PG/SG,"Curry, Stephen^",42.25,"$10,600",GOLDEN STATE WARRIORS,v atl, 106-94,25:22,   29pt 7rb 1as 1bl 1to 3trey 10-18fg 6-6ft
PG/SG,"Oladipo, Victor^",39,"$8,200",INDIANA PACERS,v lac, 109-104,37:01,   18pt 6rb 4as 2st 1bl 3trey 4-16fg 7-8ft
PG/SG,"Beal, Bradley^",37.5,"$8,300",WASHINGTON WIZARDS,v den, 100-108,39:33,   24pt 4rb 5as 4to 6trey 9-18fg
PG,"Cook, Quinn",34,"$4,000",GOLDEN STATE WARRIORS,v atl, 106-94,31:56,   13pt 8rb 6as 1st 1to 1trey 5-11fg 2-2ft
PG/SG,"Mills, Patty^",34,"$4,200",SAN ANTONIO SPURS,v uta, 124-120,40:32,   25pt 2rb 4as 1to 2trey 8-12fg 7-7ft
PG/SG,"Burke, Trey",34,"$4,700",NEW YORK KNICKS,v min, 104-108,31:01,   15pt 2rb 9as 2st 3to 1trey 6-11fg 2-4ft
PG,"Dragic, Goran^",34,"$6,600",MIAMI HEAT,@ okc, 99-105,30:56,   20pt 4rb 5as 1st 3to 2trey 7-16fg 4-4ft
PG/SG,"Payne, Cameron^",33.5,"$5,400",CHICAGO BULLS,v mil, 105-118,30:34,   17pt 4rb 6as 1st 1to 2trey 6-12fg 3-3ft
PG,"Collison, Darren^",33.5,"$5,800",INDIANA PACERS,v lac, 109-104,27:32,   13pt 2rb 10as 1st 2to 1trey 6-9fg
PG/SG,"Jennings, Brandon",33,"$3,700",MILWAUKEE BUCKS,@ chi, 118-105,27:44,   16pt 4rb 5as 1st 1bl 1to 2trey 5-11fg 4-4ft
SG,"Daniels, Troy^",31.5,"$3,900",PHOENIX SUNS,@ cle, 95-120,33:28,   20pt 6rb 1as 1to 6trey 7-16fg
PG,"Ulis, Tyler",31,"$3,100",PHOENIX SUNS,@ cle, 95-120,30:19,   11pt 2rb 9as 2st 1bl 4to 5-12fg 1-1ft
SG,"Young, Nick^",31,"$4,600",GOLDEN STATE WARRIORS,v atl, 106-94,25:55,   24pt 2rb 1as 6trey 9-17fg
PG/SG,"VanVleet, Fred",31,"$4,600",TORONTO RAPTORS,v bkn, 116-112,32:07,   16pt 6rb 1as 1st 1bl 4trey 6-12fg 0-2ft
PG,"Schroder, Dennis^",30.25,"$6,800",ATLANTA HAWKS,@ gsw, 94-106,28:34,   16pt 3rb 7as 1st 4to 8-17fg 0-2ft
PG/SG,"Bledsoe, Eric^",28.5,"$8,000",MILWAUKEE BUCKS,@ chi, 118-105,20:16,   13pt 4rb 4as 2bl 1trey 4-8fg 4-4ft
PG/SG,"Rozier, Terry^",28.25,"$7,100",BOSTON CELTICS,@ por, 105-100,33:48,   16pt 5rb 2as 1st 2trey 4-14fg 6-6ft
PG/SG,"Clarkson, Jordan",27,"$4,800",CLEVELAND CAVALIERS,v pho, 120-95,25:53,   13pt 4rb 2as 2st 1bl 5-14fg 3-4ft
PG,"Larkin, Shane",26.5,"$3,600",BOSTON CELTICS,@ por, 105-100,34:00,   9pt 4rb 7as 1st 1to 1trey 3-7fg 2-2ft
PG/SG,"Ntilikina, Frank",26.25,"$3,500",NEW YORK KNICKS,v min, 104-108,37:15,   13pt 5rb 3as 1st 1to 2trey 5-12fg 1-1ft
PG/SG,"Rivers, Austin^",24.5,"$6,000",LOS ANGELES CLIPPERS,@ ind, 104-109,37:35,   10pt 8as 1st 1trey 3-12fg 3-4ft
PG/SF,"LeVert, Caris",22.5,"$5,300",BROOKLYN NETS,@ tor, 112-116,28:31,   9pt 2rb 3as 3st 1trey 4-12fg
PG/SG,"Hill, George^",22.25,"$4,900",CLEVELAND CAVALIERS,v pho, 120-95,26:14,   7pt 5rb 2as 1st 2bl 1to 1trey 3-5fg
PG,"Joseph, Cory",21,"$4,100",INDIANA PACERS,v lac, 109-104,26:24,   5pt 4rb 6as 1st 1to 1trey 2-9fg
PG,"Murray, Dejounte^",20.75,"$5,500",SAN ANTONIO SPURS,v uta, 124-120,34:48,   4pt 5rb 5as 2st 2to 2-7fg
PG/SG,"Satoransky, Tomas^",20.5,"$5,500",WASHINGTON WIZARDS,v den, 100-108,26:21,   7pt 4rb 6as 2to 1trey 3-6fg
PG,"Teague, Jeff^",20.5,"$7,300",MINNESOTA TIMBERWOLVES,@ nyk, 108-104,33:35,   10pt 8as 3to 3-13fg 4-4ft
SG,"Crawford, Jamal",19.25,"$4,000",MINNESOTA TIMBERWOLVES,@ nyk, 108-104,25:11,   13pt 1rb 3as 2to 3trey 5-14fg
PG/SG,"Johnson, Tyler^",18,"$4,700",MIAMI HEAT,@ okc, 99-105,19:42,   8pt 6rb 1as 2trey 3-6fg
PG/SG,"Harris, Devin",17.75,"$4,000",DENVER NUGGETS,@ was, 108-100,28:22,   10pt 1rb 4as 1to 2trey 4-10fg
PG/SG,"Teodosic, Milos^",17.25,"$4,400",LOS ANGELES CLIPPERS,@ ind, 104-109,30:36,   10pt 3rb 3as 4to 2trey 4-9fg
PG/SG,"Dorsey, Tyler",17,"$3,600",ATLANTA HAWKS,@ gsw, 94-106,24:40,   13pt 2as 1to 3trey 5-11fg 0-2ft
PG/SG,"Terry, Jason",16.5,"$3,400",MILWAUKEE BUCKS,@ chi, 118-105,29:47,   10pt 2rb 2as 1to 3trey 3-4fg 1-1ft
